Title,Company,Location,Salary,Job Type,Description,Date Posted
Customer Service Representatives - Multiple Locations,PAL Airlines,"Goose Bay, NL",1.0,Full-time,"Assist customers through all phases of their booking, flight check-in and aircraft boarding and deplaning processes in accordance with our Customer Service…",30
Social Worker,Mushuau Innu First Nation,"Natuashish, NL",N/A,Full-time,"Complete case notes, case reviews, home studies, incident reports and case documents; develop and monitor the implementation of Plan of Care and develops short-…",4
Material Sorter,Hebert's Recycling Inc.,"Norris Arm, NL",14.5,Part-time,The ideal candidate must able to stand for long periods of time and be able to lift up to 50 lbs. Part-time hours: 40 per week.,1
Aesthetician,Monastery Spa,"St. John's, NL",1.0,Full-time,"Provide aesthetic treatments and services to guest specifications as per Monastery Spa standards, services that are required but not limited to;",4
Laboratory Technician ( Cannabis ),AmSpec Ca,"Arnolds Cove, NL",1.0,Full-time,Ordering and maintaining stock and resources. Conduct required testing and lab activities under current Good Laboratory practices (GLP) including data…,4
Warehouse Worker / Order Selector (Part-Time Afternoon Shift),Sobeys,"Mount Pearl, NL",17.75,Part-time,The Selector will provide customers and stores with accurate and secure orders in a timely and safe manner. Assemble orders for shipment to stores.   ,4
Client Registration Assistant,Fonemed,"Remote in St. John's, NL",17.25,Full-time,"Be comfortable as the first point of contact for all medicals calls, including mental health and crisis intervention calls. Paid vacation and sick time.   ",14
Cashier,Shoppers Drug Mart / Pharmaprix,"Paradise, NL",N/A,Part-time,"Benefit from a purchase discount program, competitive pay and online learning through Academy. Accurately accounts for cash and coupon, lottery, and PC Optimum.   ",3
"Experienced Retail Department Manager, Administration - Labrador",Northern / NorthMart,Newfoundland and Labrador,N/A,Full-time,Must have the ability and desire to develop an in-depth understanding of Northern/NorthMart customers. Follow up on delinquent accounts including participation…,30
Entry Level Marketing Assistant,Charcoal Marketing,"St. John's, NL",18.78,Full-time,"Work under the direction of the marketing manager to help write, design, and produce proposals, presentations, and other material used to help the firm win work…  ",4
Administrative Assistant,Puglisevich Canada,"St. John's, NL",N/A,Full-time,The Administrative Assistant will provide support to the human resources department. Provide support to team members within the human resources department.   ,14
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",21.83,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ",1
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",15.5,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ",30
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",N/A,,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,20
KITCHEN HELPER,Noodle Nami,"St. John's, NL",N/A,Full-time,"Permanent, Full Time, Part Time. No experience required (Full training provided).  ",30
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",21.83,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ",
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",15.5,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ",30
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",N/A,,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,20
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",N/A,Full-time,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,4
Executive Assistant,City of Mount Pearl,"Mount Pearl, NL",N/A,,  ,5
Customer Service Representative,Circle K,"St. John's, NL",N/A,,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ",
Seasonal Sales Associate,Hillhead Designs Ltd.,"St. John's, NL",15.25,Part-time,"Keen interest/experience in Home Décor, home living and understanding of industry trends. Knowledge of Local Vendors and Crafts people in the business community…  ",
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL",1.0,Full-time,"Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.",4
FOOD SERVER,Noodle Nami,"St. John's, NL",N/A,Part-time,"Part Time, Shift, Weekend, Day, Night. Must be able to work well with others in a fast paced environment, and must possess excellent customer service skills.  ",30
"cashier, customer service",Deluxe Dry Cleaners,"St. John's, NL",16.5,"Part-time
+1","Process money, cheques and credit/debit card payments. Calculate daily/shift payments received and reconcile with total sales.   ",11
FOH Team Member,Mallard Cottage,"St. John's, NL",18.0,"Full-time
+3",Handle cash transactions and operate the cash register. Greet and welcome customers in a friendly and professional manner. Part-time hours: 20-40 per week.  ,30
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL",1.0,Full-time,"Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.",4
Data Science Graduate (Canada),Novo Nordisk,Canada,N/A,Full-time,No more than 1 year of full-time work experience after completing your Master’s degree (when hired). Recent master's degree (from 2023 or 2024) in either Data…,17
administrative officer,Pride Pak Canada,"Paradise, NL",40.0,"Full-time
+2",Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation.   ,30
Pre-board Screening Officer,Securitas Canada Ltd.,"St. John's, NL",N/A,,Your important role will also ensure that the pre-board screening of passengers is conducted in an efficient and friendly manner.   ,30
Sales Associate,"Foot Locker Corporate Services, Inc.","St. John's, NL",14.7,Part-time,Confident and comfortable engaging customers to deliver an elevated experience. Motivated to achieve great results because of one's enthusiasm from interacting…   ,30
All Opportunities St. Clare's,NL Health Services,"St. John's, NL",N/A,Full-time, ,30
Event Staff,Memorial University of Newfoundland,"St. John's, NL",15.0,Part-time,Manage cash transactions and operate cash registers or point-of-sale systems. Ability to handle cash transactions accurately and efficiently.   ,1
