Title,Company,Location,Salary,Job Type,Description,Date Posted
Customer Service Representatives - Multiple Locations,PAL Airlines,"Goose Bay, NL","Full-time
+1",N/A,"Assist customers through all phases of their booking, flight check-in and aircraft boarding and deplaning processes in accordance with our Customer Service…","Posted
Posted 30+ days ago"
Social Worker,Mushuau Innu First Nation,"Natuashish, NL",Full-time,"Monday to Friday
+1","Complete case notes, case reviews, home studies, incident reports and case documents; develop and monitor the implementation of Plan of Care and develops short-…","Posted
Posted 4 days ago"
Material Sorter,Hebert's Recycling Inc.,"Norris Arm, NL",From $14.50 an hour,Part-time,The ideal candidate must able to stand for long periods of time and be able to lift up to 50 lbs. Part-time hours: 40 per week.,"Posted
Posted 1 day ago"
Aesthetician,Monastery Spa,"St. John's, NL","Full-time
+1","Monday to Friday
+4","Provide aesthetic treatments and services to guest specifications as per Monastery Spa standards, services that are required but not limited to;","Employer
Active 4 days ago"
Laboratory Technician ( Cannabis ),AmSpec Ca,"Arnolds Cove, NL","Full-time
+1",N/A,Ordering and maintaining stock and resources. Conduct required testing and lab activities under current Good Laboratory practices (GLP) including data…,"Employer
Active 4 days ago"
Warehouse Worker / Order Selector (Part-Time Afternoon Shift),Sobeys,"Mount Pearl, NL",$17.75–$21.95 an hour,Part-time,The Selector will provide customers and stores with accurate and secure orders in a timely and safe manner. Assemble orders for shipment to stores.   ,"Employer
Active 4 days ago"
Client Registration Assistant,Fonemed,"Remote in St. John's, NL",$17.25 an hour,Full-time,"Be comfortable as the first point of contact for all medicals calls, including mental health and crisis intervention calls. Paid vacation and sick time.   ","Posted
Posted 14 days ago"
Cashier,Shoppers Drug Mart / Pharmaprix,"Paradise, NL",Part-time,N/A,"Benefit from a purchase discount program, competitive pay and online learning through Academy. Accurately accounts for cash and coupon, lottery, and PC Optimum.   ","Posted
Posted 3 days ago"
"Experienced Retail Department Manager, Administration - Labrador",Northern / NorthMart,Newfoundland and Labrador,Full-time,8 hour shift,Must have the ability and desire to develop an in-depth understanding of Northern/NorthMart customers. Follow up on delinquent accounts including participation…,"Posted
Posted 30+ days ago"
Entry Level Marketing Assistant,Charcoal Marketing,"St. John's, NL",$18.78–$19.85 an hour,Full-time,"Work under the direction of the marketing manager to help write, design, and produce proposals, presentations, and other material used to help the firm win work…  ","Posted
Posted 4 days ago"
Administrative Assistant,Puglisevich Canada,"St. John's, NL",Full-time,Monday to Friday,The Administrative Assistant will provide support to the human resources department. Provide support to team members within the human resources department.   ,"Posted
Posted 14 days ago"
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",$21.83–$23.76 an hour,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ","Posted
Today"
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",From $15.50 an hour,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ","Posted
Posted 30+ days ago"
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",N/A,N/A,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,"Posted
Posted 20 days ago"
KITCHEN HELPER,Noodle Nami,"St. John's, NL",Full-time,N/A,"Permanent, Full Time, Part Time. No experience required (Full training provided).  ","Posted
Posted 30+ days ago"
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",$21.83–$23.76 an hour,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ",
,,,,N/A,    ,
,,,,,,
,,,,,  ,
,,,,,    ,
,,,,N/A,   ,"Posted
Posted 30+ days ago"
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",From $15.50 an hour,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ","Posted
Posted 30+ days ago"
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",N/A,N/A,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,"Posted
Posted 20 days ago"
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",Full-time,Monday to Friday,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,"Employer
Active 4 days ago"
Executive Assistant,City of Mount Pearl,"Mount Pearl, NL",N/A,N/A,  ,"Posted
Posted 5 days ago"
Customer Service Representative,Circle K,"St. John's, NL",N/A,N/A,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ","Posted
Just posted"
Seasonal Sales Associate,Hillhead Designs Ltd.,"St. John's, NL",$15.25 an hour,Part-time,"Keen interest/experience in Home Décor, home living and understanding of industry trends. Knowledge of Local Vendors and Crafts people in the business community…  ","Posted
Just posted"
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL","Full-time
+1","Monday to Friday
+2","Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.","Employer
Active 4 days ago"
FOOD SERVER,Noodle Nami,"St. John's, NL",Part-time,"Day shift
+3","Part Time, Shift, Weekend, Day, Night. Must be able to work well with others in a fast paced environment, and must possess excellent customer service skills.  ","Posted
Posted 30+ days ago"
"cashier, customer service",Deluxe Dry Cleaners,"St. John's, NL",$16.50 an hour,"Part-time
+1","Process money, cheques and credit/debit card payments. Calculate daily/shift payments received and reconcile with total sales.   ","Posted
Posted 11 days ago"
FOH Team Member,Mallard Cottage,"St. John's, NL",$18–$20 an hour,"Full-time
+3",Handle cash transactions and operate the cash register. Greet and welcome customers in a friendly and professional manner. Part-time hours: 20-40 per week.  ,"Posted
Posted 30+ days ago"
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL","Full-time
+1","Monday to Friday
+2","Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.","Employer
Active 4 days ago"
Data Science Graduate (Canada),Novo Nordisk,Canada,Full-time,N/A,No more than 1 year of full-time work experience after completing your Master’s degree (when hired). Recent master's degree (from 2023 or 2024) in either Data…,"Employer
Active 17 days ago"
administrative officer,Pride Pak Canada,"Paradise, NL","$40,500 a year","Full-time
+2",Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation.   ,"Posted
Posted 30+ days ago"
Pre-board Screening Officer,Securitas Canada Ltd.,"St. John's, NL",Rotating shift,N/A,Your important role will also ensure that the pre-board screening of passengers is conducted in an efficient and friendly manner.   ,"Posted
Posted 30+ days ago"
Sales Associate,"Foot Locker Corporate Services, Inc.","St. John's, NL",$14.70 an hour,Part-time,Confident and comfortable engaging customers to deliver an elevated experience. Motivated to achieve great results because of one's enthusiasm from interacting…   ,"Posted
Posted 30+ days ago"
All Opportunities St. Clare's,NL Health Services,"St. John's, NL",Full-time,N/A, ,"Posted
Posted 30+ days ago"
Event Staff,Memorial University of Newfoundland,"St. John's, NL",From $15 an hour,Part-time,Manage cash transactions and operate cash registers or point-of-sale systems. Ability to handle cash transactions accurately and efficiently.   ,"Posted
Posted 1 day ago"
Security Guard - Part time or Casual,Securitas Canada Ltd.,"St. John's, NL","Part-time
+1",N/A,"Controls access to client site or facility through the admittance process Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards,…   ","Posted
Posted 30+ days ago"
Office Administrator,Physio & Co.,"St. John's, NL",$17–$21 an hour,Full-time,"Tidy and maintain the reception. Take and relay messages ,prepare correspondence and patient documents. Complete daily online billing and insurance claims other…  ","Employer
Active 5 days ago"
Full-Time Crew Member,McDonald's,"St. John's, NL",Full-time,Day shift,"Greeting guests, taking orders and processing payments. Managing delivery and mobile orders. Assembling orders and packaging take-out and delivery.   ","Posted
Posted 30+ days ago"
tree harvester operator,Sexton Lumber Co. Limited,"Grand Falls-Windsor, NL",$27.50 an hour,"Full-time
+1",Hours: 50 to 60 hours per week.  ,"Posted
Posted 2 days ago"
Local Company Tractor Trailer Driver,Day & Ross,"Mount Pearl, NL","From $62,000 a year",Full-time,"We plan our routes to make sure our truck drivers can enjoy reliable home time. Car Rental, Hotel, Flights, Gas, and other travel discounts.","Posted
Posted 30+ days ago"
Labour Relations Officer,Registered Nurses’ Union of Newfoundland &...,"St. John's, NL","$91,955 a year",Full-time,"Through advocacy and research, RNU has worked to improve the health care system and enhance the livelihood, safety, and well-being of our membership.  ","Posted
Posted 30+ days ago"
Sales Associate,Torrid,"St. John's, NL",Part-time,"Weekends as needed
+2","Flexible schedules, associate discount 50%, additional monthly discount coupon, mental health resources, tuition reimbursement and employee stock purchase…   ","Posted
Posted 30+ days ago"
Warehouse Worker (Full Time),Loblaw Companies Limited,"Mount Pearl, NL",Full-time,"Day shift
+3","In this role, successful candidates will safely and accurately pick orders of groceries for hundreds of different Loblaw stores across the region.   ","Posted
Posted 30+ days ago"
"Superintendent, Production Area",Vale Canada,"Long Harbour-Mount Arlington Heights, NL",Full-time,Monday to Friday,"Provide business direction to the Coaches and develop the Coach's business acumen and their ability, capacity to develop their teams.   ","Posted
Posted 18 days ago"
Associate,Royal Bank of Canada,"St. John's, NL",Full-time,N/A,"A world-class training program in financial services. Respond to client inquiries in an understanding and time-efficient manner (account transactions, requests,…   ","Posted
Posted 30+ days ago"
Pathways NL Administrator,Pathways NL,"St. John's, NL",N/A,N/A,"Pathways NL is an online resource that will provide family physicians, nurse practitioners, and their office staff/teams quick access to current and accurate…  ","Posted
Posted 30+ days ago"
Warehouse Associate,Source Atlantic Limited,"Mount Pearl, NL",Full-time,N/A,"Driver’s license and clean driving record. Picking, packing, shipping, and receiving orders. Confidential access to an Employee Family Assistance Program (EAP)…   ","Posted
Posted 11 days ago"
"Team Member, Avalon Mall",Saje Natural Wellness | Retail,"St. John's, NL",N/A,N/A,"Contribute to an environment of excellent community member service, sharing our awesome products and spreading wellness through the in-store experience.   ","Posted
Posted 30+ days ago"
assistant professor - university,Memorial University of Newfoundland and Labrador,"St. John's, NL","$91,293–$114,923 a year","Full-time
+1",  ,"Posted
Posted 17 days ago"
companion,Leonard Clarke,"St. John's, NL",$16–$22 an hour,"Full-time
+1",Assume full responsibility for household (in absence of householder). Launder clothing and household linens. Shop for food and household supplies.  ,"Posted
Posted 9 days ago"
Bowling alley Attendant,Paradise Bowl,"Paradise, NL",$15 an hour,Part-time,Assist with cash handling and customer transactions at the front desk. Greet and assist customers in a friendly and courteous manner.  ,"Employer
Active 15 days ago"
"Chief Administrative Officer - Town of Placentia, NL",Hounsell Municipal Consulting,"Placentia, NL",Full-time,N/A,The ideal candidate can demonstrate progressive experience in a municipal government or management role. This is a full-time permanent management position with…  ,"Posted
Posted 30+ days ago"
Custodian - Temporary hours week,Newfoundland & Labrador English School District,"St. John's, NL",$20.05–$21.64 an hour,Full-time,A Custodial Worker is responsible for providing daily janitorial duties through an established schedule to ensure that the schools are maintained at the highest…   ,"Posted
Posted 4 days ago"
Cashier / Customer Experience Associate,Walmart Canada,"St. John's, NL",Full-time,N/A,Walmart will accommodate the disability-related needs of applicants and associates as required by law. To provide exceptional customer service and assist in…   ,"Posted
Posted 30+ days ago"
Truck Driver for Broker,Day & Ross,"St. John's, NL",Full-time,N/A,"O Auto purchasing discount program. O FAMILY Employee assistance program. O Car Rental, Hotel, Flights, Gas, and other travel discounts.","Posted
Posted 10 days ago"
INTERVIEWER,Memorial University of Newfoundland,Newfoundland and Labrador,"$45,229–$53,053 a year","Part-time
+1","The successful candidate must hold a valid drivers licence, a vehicle, cell phone and have access to Internet. Experience with Microsoft Office is required.   ","Posted
Posted 8 days ago"
Overnight Merchandising Store Associate,Walmart Canada,"St. John's, NL",Full-time,N/A,"This will be accomplished by unloading trailers, pulling pallets to the floor and assisting in the processing of merchandise all in a safe and clean environment…   ","Posted
Posted 30+ days ago"
Production Technician,Atlantic Cultivation,"St. John's, NL",From $17 an hour,Full-time,Ensure shipping and receiving activities are done accurately and on time. Ensure refuse and waste products are managed and destroyed as per the current SOP’s.   ,"Employer
Active 4 days ago"
Organizer,Neighbours United,"St. John's, NL",$24.04 an hour,Part-time,Access to reliable transportation and valid driver’s license. The Organizer will support an ongoing deep canvassing program that includes: having deep canvass…  ,"Posted
Posted 3 days ago"
administrative assistant,YH Holdings Inc,"St. John's, NL",$25 an hour,"Full-time
+1","Plan, develop and implement recruitment strategies. Oversee development of communication strategies. Manage training and development strategies.  ","Posted
Posted 30+ days ago"
