Title,Company,Location,Salary,Job Type,Description,Date Posted
Black-Centric Programming Advisor,Association for New Canadians,"St. John's, NL",Full-time,N/A,"Valid class 5 driver's licence and access to a reliable vehicle is required. Reporting to the Senior Manager of Programs, the Black-Centric Programming Advisor…   ","Posted
Posted 16 days ago"
Bilingual Reservations Agent,PAL Airlines,"St. John's, NL","Full-time
+1",N/A,"At PAL Airlines we are dedicated to providing our customers with reliable on-time performance, memorable travel experiences, and outstanding customer service.   ","Posted
Posted 18 days ago"
Member Service Advisor I - St. John's/CBS/Mount Pearl,Newfoundland and Labrador Credit Union Ltd.,"St. John's, NL",Part-time,N/A,We have an open position for a part-time Member Service Advisor in St. John’s metro area.  ,"Posted
Posted 30+ days ago"
Client Success Coordinator,The Idea Factory,"St. John's, NL",Full-time,N/A,"Assisting in the development of creative and project briefs that serve as roadmaps for the creative team to produce content aligned with a client's mission,…  ","Posted
Posted 30+ days ago"
Veterans Service Officer,Royal Canadian Légion NL Provincial Command,"St. John's, NL",Part-time,Monday to Friday,Assist in the development and implementation of service improvement initiatives. Perform data entry and maintain accurate records of client interactions and…  ,"Employer
Active 12 days ago"
kitchen helper,Golden Phoenix Buffet,"St. John's, NL",$15 an hour,"Full-time
+1","Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Use manual and electrical appliances to clean, peel, slice and…  ","Posted
Posted 30+ days ago"
General Manager,Georgia Holdings / Wendy’s Restaurant,"St. John's, NL",Full-time,N/A,You will be responsible for providing customers with a memorable fast food dining experience.  ,"Posted
Posted 30+ days ago"
office manager,PROMINENT TRANSPORTATION INC,"Bishop's Falls, NL",$26.25 an hour,"Full-time
+2",Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation.  ,"Posted
Posted 30+ days ago"
food and beverage server,Quality Hotel Clarenville- Bella's Casual Dining,"Clarenville, NL",$14.50–$15.00 an hour,Part-time,"Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings. Education: No degree, certificate or diploma.  ","Posted
Posted 30+ days ago"
Cook (Casual),Tiffany Village Retirement Residence Partnership,"St. John's, NL",$18.78 an hour,Casual,"Fulfills the duties and responsibilities of a cook with a pleasant demeanour focusing on upholding excellent customer service, recognizing the importance of…   ","Posted
Posted 3 days ago"
"cleaner, heavy duty",Bear Cleaners & Supply,"St. John's, NL",$15.25–$18.50 an hour,"Full-time
+1","Wash windows, interior walls and ceilings. Move heavy furniture, equipment and supplies. Sweep, mop, scrub and wax hallways, floors and stairs.  ","Posted
Posted 9 days ago"
Associate Manager,PetSmart,"St. John's, NL",N/A,N/A,"From ensuring our associates have extensive knowledge of pet solutions to building connections with pet parents, our leaders ensure a safe and fun environment…   ","Posted
Posted 30+ days ago"
FW Maintenance Support,Cooke Aquaculture Inc.,"St. Alban's, NL",Full-time,N/A,The ideal candidate will be a self-motivated team player who possesses a strong mechanical aptitude and problem-solving skills.   ,"Posted
Posted 30+ days ago"
Apprentice Technician,Steele Honda,"St. John's, NL",Full-time,N/A,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Advise customers on work performed, general vehicle condition and future…   ","Employer
Active 7 days ago"
Student Assistant - Casual Call-In - Port Hope-Simpson and Surrounding Area,Newfoundland & Labrador English School District,"Port Hope Simpson, NL",$24.06–$26.63 an hour,Casual,"This position involves assisting student(s) with severe cognitive, physical, and/or behavioral needs. REMINDER: Electronic eOFFERs only with 24 hour expiration …   ","Posted
Posted 30+ days ago"
kitchen helper,Peyton Food Services Ltd.,"Grand Falls-Windsor, NL",$15 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ","Posted
Posted 10 days ago"
,,,,,   ,
,,,,,   ,
,,,,,  ,
,,,N/A,N/A,    ,
,,,,,   ,
,,,,,"Education: Secondary (high) school graduation certificate. Keep financial records and establish, maintain and balance various accounts using manual and…  ","Posted
Posted 30+ days ago"
Veterinary Extern - General Practice,Humber Veterinary Clinic,"Corner Brook, NL",N/A,N/A,Veterinary students who are in the clinical portion of their education are eligible for a travel/living expense stipend.   ,"Posted
Posted 30+ days ago"
Finance & Insurance Manager,Steele St. John's Chrysler,"St. John's, NL",Full-time,N/A,Our Employee and Family Assistance program offers a portfolio of healthcare services to keep you and your family healthy. Ability to read credit bureau reports.  ,"Posted
Posted 5 days ago"
food and beverage server,Plant N' Plate Inc.,"Clarenville, NL",$15.50 an hour,"Full-time
+1","Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings. Food and beverage server trade certificate.  ","Posted
Posted 2 days ago"
Departmental Program Co-Ordinator,NL Health Services,"Labrador City, NL",Full-time,"8 hour shift
+1","This includes the development of program reports, key performance indicators and data related to program evaluation. Hours 75 bi-weekly (8 hour days).  ","Posted
Posted 1 day ago"
Shop Labourer,Carol Lake Metal Works,"Labrador City, NL",N/A,N/A,Must have a valid driver’s license. Experience in a welding workshop would be an asset. Properly mix multi-component systems per manufacturers’ specifications.   ,"Posted
Posted 30+ days ago"
kitchen helper,Madras Cafe,"St. John's, NL",$14.50 an hour,"Full-time
+1","Education: Secondary (high) school graduation certificate. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ","Posted
Posted 30+ days ago"
